film_id,film,year,length,imdb_categories,imdb_ratings,imdb_stars,mentions,list_2020,list_2021,mpaa,imdb_pct10,dr_love,imdb_link
90,Scent of a Woman,1992,156,Drama,277837,8,1,1,0,R,18.9,No,https://www.imdb.com/title/tt0105323/
91,Scott Pilgrim vs. The World,2010,112,"Action, Comedy, Fantasy",400322,7.5,1,1,0,PG-13,15.3,No,https://www.imdb.com/title/tt0446029/
92,The Secret Life of Walter Mitty,2013,114,"Comedy, Drama, Fantasy",302996,7.3,2,1,1,PG,11.4,No,https://www.imdb.com/title/tt0359950/
93,Seven Psychopaths,2012,110,"Comedy, Crime",248280,7.2,1,1,0,R,6.9,No,https://www.imdb.com/title/tt1931533/
94,The Shawshank Redemption,1994,142,Drama,2457003,9.3,2,1,1,R,55.2,Yes,https://www.imdb.com/title/tt0111161/
95,The Silence of the Lambs,1991,118,"Crime, Drama, Thriller",1328577,8.6,1,1,0,R,23.4,Yes,https://www.imdb.com/title/tt0102926/
96,Skyfall,2012,143,"Action, Adventure, Thriller",646976,7.7,1,0,1,PG-13,12.1,Yes,https://www.imdb.com/title/tt1074638/
97,Sorry To Bother You,2018,112,"Comedy, Drama, Fantasy",70065,6.9,1,0,1,R,6,No,https://www.imdb.com/title/tt5688932/
98,Soul,2020,100,"Animation, Adventure, Comedy",275850,8.1,1,0,1,PG,18.9,No,https://www.imdb.com/title/tt2948372/
99,Spider Man: Into The Spider-Verse,2018,117,"Animation, Action, Adventure",424275,8.4,1,0,1,PG,24.7,Yes,https://www.imdb.com/title/tt4633694/
100,Spirited Away,2001,125,"Animation, Adventure, Family",691237,8.6,3,1,2,PG,31.1,No,https://www.imdb.com/title/tt0245429/
101,Star Wars: Episode IV - A New Hope,1977,121,"Action, Adventure, Fantasy",1275100,8.6,1,0,1,PG,31.5,Yes,https://www.imdb.com/title/tt0076759/
102,Still Walking,2008,115,Drama,15006,8,1,1,0,NR,12.9,No,https://www.imdb.com/title/tt1087578/
103,Takers,2010,107,"Action, Crime, Thriller",60446,6.2,1,1,0,PG-13,7.8,No,https://www.imdb.com/title/tt1135084/
104,Tangled,2010,100,"Animation, Adventure, Comedy",422163,7.7,1,1,0,PG,16.4,Yes,https://www.imdb.com/title/tt0398286/
105,Titanic,1997,134,"Drama, Romance",1090439,7.8,2,1,1,PG-13,22.9,Yes,https://www.imdb.com/title/tt0120338/
106,Top Gun,1986,110,"Action, Drama",310150,6.9,1,1,0,PG,9.7,Yes,https://www.imdb.com/title/tt0092099/
107,Trolls,2016,92,"Animation, Adventure, Comedy",76011,6.5,1,0,1,PG,9.3,No,https://www.imdb.com/title/tt1679335/
108,Twister,1996,113,"Action, Adventure, Thriller",186399,6.4,1,0,1,PG-13,6.3,Yes,https://www.imdb.com/title/tt0117998/
109,V for Vendetta,2005,132,"Action, Drama, Sci-Fi",1064446,8.1,1,0,1,R,22.2,No,https://www.imdb.com/title/tt0434409/
110,Waking Life,2001,99,"Animation, Drama, Fantasy",62351,7.8,1,1,0,R,23.1,No,https://www.imdb.com/title/tt0243017/
111,War of the Worlds,2015,116,"Action, Adventure, Sci-Fi",428273,6.5,1,0,1,PG-13,5.6,No,https://www.imdb.com/title/tt0407304/
112,What About Bob?,1991,99,Comedy,65592,7,1,0,1,PG,10,No,https://www.imdb.com/title/tt0103241/
113,When Harry Met Sally,1989,95,"Comedy, Drama, Romance",205136,7.6,1,1,0,R,13,Yes,https://www.imdb.com/title/tt0098635/
114,Whiplash,2014,106,"Drama, Music",760727,8.5,1,0,1,R,21.8,No,https://www.imdb.com/title/tt2582802/
115,Yeh Jawaani hai Deewani,2013,160,"Drama, Musical, Romance",41100,7.2,1,1,0,NR,18.9,No,https://www.imdb.com/title/tt2178470/
